Feature,Feature_Value,SHAP_Value
PAY_2,3,0.5933547
EDUCATION,1,0.5405012
MARRIAGE,1,0.46354333
AGE,32,0.23166487
PAY_AMT1,0,0.14032573
BILL_AMT3,3342,0.12113476
BILL_AMT2,4693,0.07235163
LIMIT_BAL,80000,0.040822327
PAY_3,2,0.037848003
PAY_AMT2,0,0.021707417
BILL_AMT4,4844,0.009027217
BILL_AMT5,3728,0.007187339
PAY_AMT4,0,-0.012373524
PAY_6,0,-0.021944482
BILL_AMT1,4927,-0.030547054
BILL_AMT6,2612,-0.04038534
PAY_5,0,-0.041847594
PAY_AMT5,0,-0.06021491
PAY_4,-1,-0.06981237
PAY_AMT6,0,-0.10207804
PAY_AMT3,4844,-0.1332061
SEX,2,-0.37008938
PAY_0,-1,-0.65547156
